epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,7663.93,0.53218,0.45707,0.82275,0.88102,0.89653,0.88547,0.7716,0.55692,0.40947,0.83204,6.5104e-05,6.5104e-05,6.5104e-05
42,7835.01,0.527,0.43294,0.82413,0.91191,0.89296,0.89345,0.78552,0.54414,0.39311,0.82831,5.89066e-05,5.89066e-05,5.89066e-05
43,8005.85,0.52415,0.42701,0.82111,0.89379,0.89709,0.8847,0.77714,0.54665,0.39573,0.82995,5.27092e-05,5.27092e-05,5.27092e-05
44,8176.37,0.5231,0.41952,0.82633,0.9024,0.89983,0.89458,0.78806,0.54163,0.39002,0.82847,4.65118e-05,4.65118e-05,4.65118e-05
45,8348.2,0.51639,0.41555,0.81827,0.90648,0.90117,0.89053,0.78246,0.55085,0.39181,0.82959,4.03144e-05,4.03144e-05,4.03144e-05
46,8519.06,0.51139,0.40966,0.82319,0.90166,0.90065,0.88819,0.77956,0.53957,0.39036,0.82753,3.4117e-05,3.4117e-05,3.4117e-05
47,8689.84,0.51048,0.40465,0.82276,0.90736,0.89512,0.88939,0.7825,0.53948,0.38621,0.8284,2.79196e-05,2.79196e-05,2.79196e-05
48,8861.01,0.50849,0.40399,0.82236,0.93337,0.89803,0.89602,0.78981,0.53961,0.38273,0.8278,2.17222e-05,2.17222e-05,2.17222e-05
49,9031.69,0.50414,0.40059,0.82032,0.92919,0.89543,0.89555,0.7908,0.53734,0.38386,0.82741,1.55248e-05,1.55248e-05,1.55248e-05
50,9203.2,0.50463,0.39707,0.8195,0.91679,0.89619,0.89115,0.78626,0.53601,0.38306,0.8273,9.3274e-06,9.3274e-06,9.3274e-06
